category,topic,question,answer,keywords,priority
conditions,"Arachnophobia","Takut laba-laba parah banget, bisa sembuh?","Arachnophobia (spider phobia) adalah salah satu phobia paling umum, affecting 3-5% populasi. SYMPTOMS: Panic, screaming, freezing, avoidance saat lihat laba-laba bahkan di foto. IMPACT: Tidak bisa masuk basement, garage, atau outdoor activities. TREATMENT: (1) Cognitive reframing - laba-laba lebih takut ke kita, (2) Gradual exposure dalam trance: foto → video → toy spider → real spider dalam jar → real spider free, (3) Anchoring calm state, (4) Reprocessing traumatic spider encounter jika ada. SUCCESS RATE: 80-85% dalam 4-6 sesi. TIMELINE: Bertahap, tidak rush. Many clients akhirnya bisa tangani spider sendiri di rumah tanpa panic. Homework: spider documentaries untuk desensitization.","arachnophobia,takut laba-laba,spider phobia,takut spider",9
conditions,"Ophidiophobia","Fobia ular mengganggu aktivitas, bisa diterapi?","Ophidiophobia (snake phobia) mempengaruhi 1/3 populasi dalam berbagai tingkat. TRIGGERS: Lihat ular di TV, kebun, hiking trails, zoo. SYMPTOMS: Intense fear, avoidance outdoor activities, nightmares tentang ular. EVOLUTIONARY: Fear of snakes adalah biological predisposition untuk survival, tapi bisa excessive. TREATMENT: (1) Education tentang snake behavior untuk cognitive reframe, (2) Systematic desensitization dalam hypnotic trance, (3) Visualization safe interaction dengan non-venomous snake, (4) Eventually exposure ke real snake dengan handler professional. SUCCESS: 75-80% dapat hiking dan outdoor activities comfortably dalam 5-8 sesi. BENEFIT: Expand lifestyle possibilities - hiking, camping, traveling ke tropical areas.","ophidiophobia,takut ular,snake phobia,fobia ular",8
conditions,"Hemophobia","Takut darah sampai pingsan, bisa diatasi?","Hemophobia (blood phobia) unique karena 75% sufferers experience vasovagal syncope (pingsan) saat lihat darah. IMPACT: Menghindari medical procedures, tidak bisa donor darah, career limitation (medis, forensic). PHYSIOLOGY: Blood phobia trigger paradoxical response - blood pressure drop drastically. TREATMENT: (1) Applied tension technique - tense muscles untuk prevent fainting, (2) Gradual exposure: cartoon blood → fake blood → blood donation video → real blood test, (3) Hypnotic suggestion untuk vascular control, (4) Reframe blood as life-giving not dangerous. SUCCESS: 70-80% dapat medical procedures tanpa syncope dalam 6-10 sesi. UNIQUE: Need teach applied tension skill sebagai safety net. Most clients eventually bisa donor darah!","hemophobia,takut darah,blood phobia,pingsan",9
conditions,"Aquaphobia","Takut air dalam, tidak bisa berenang karena fobia","Aquaphobia (fear of water) ranging dari mild (deep water) hingga severe (tidak bisa mandi/shower). CAUSES: Near-drowning experience, parental fear transmission, no water exposure as child. IMPACT: No swimming, beach anxiety, career limitation (military, rescue). SEVERITY LEVELS: (1) Mild: deep water, (2) Moderate: cannot swim, (3) Severe: shower anxiety. TREATMENT: (1) Water safety education, (2) Breathing control hypnosis, (3) Gradual exposure imaginal: ankle-deep → waist → swimming pool → ocean, (4) Installing trust dan buoyancy suggestions, (5) Real exposure dengan lifeguard present. SUCCESS: 75% dapat learn swimming dalam 8-12 sesi combined dengan swim lessons. Timeline longer untuk severe cases. Many clients eventually love water activities!","aquaphobia,takut air,water phobia,tidak bisa renang",8
conditions,"Dentophobia","Takut dokter gigi parah, gigi rusak semua","Dentophobia (dental phobia) affecting 10-15% adults, leading to severe dental problems. CAUSES: Painful childhood dental experience, fear of needles, loss of control, embarrassment tentang dental condition. IMPACT: Tooth decay, gum disease, tooth loss, chronic pain, social embarrassment. TREATMENT: (1) Desensitization to dental stimuli: sound, smell, sight of instruments, (2) Pain control hypnosis - analgesia suggestions, (3) Dissociation techniques selama dental work, (4) Reprocessing traumatic dental memories, (5) Building trust dengan dentist. SUCCESS: 80-85% dapat dental cleaning dalam 4-6 sesi, major work dalam 8-10 sesi. COLLABORATION: Work closely dengan dentist yang experienced dengan anxious patients. Self-hypnosis audio for dental appointments. Life-changing results!","dentophobia,takut dokter gigi,dental phobia,dental anxiety",9
conditions,"Mysophobia","Obsesi takut kuman mengganggu hidup, bisa normal?","Mysophobia (germophobia/contamination OCD) adalah ketakutan excessive terhadap germs dan contamination. SYMPTOMS: Excessive handwashing (50-100x/day), avoidance public places, gloves di rumah, tidak bisa sentuh doorknobs. SEVERITY: Mild (frequent handwashing) hingga Severe (housebound, skin damage dari washing). OVERLAP: Often overlaps dengan OCD - butuh comprehensive assessment. TREATMENT: (1) Cognitive reframing tentang immune system, (2) Anxiety tolerance building, (3) Gradual exposure ke 'contaminated' objects dalam controlled setting, (4) Response prevention hypnotic suggestions, (5) Distress tolerance. SUCCESS: 60-70% significant reduction dalam 12-20 sesi. REALISTIC: Chronic condition - manage symptoms not complete cure. Maintenance sessions needed. Quality of life improves dramatically.","mysophobia,takut kuman,germophobia,OCD kontaminasi",8
conditions,"Nyctophobia","Anak takut gelap tidak bisa tidur sendiri","Nyctophobia (fear of dark) sangat umum pada children, 10-30% mengalaminya. AGE: Usually 2-12 years, most outgrow by adolescence, tapi some persist ke adulthood. CAUSES: Imagination overactive, scary stories/movies, separation anxiety, fear of unknown. IMPACT: Cannot sleep alone, nightlight dependency, fear-induced insomnia. TREATMENT CHILDREN: (1) Storytelling dengan brave characters facing darkness, (2) Imagination play - 'darkness as friend', (3) Gradual dark exposure with parent present, (4) Empowerment suggestions, (5) Night routine dengan safety objects. SUCCESS: 85-90% overcome dalam 4-8 sesi karena children very responsive. APPROACH: Playful, non-threatening, involve teddy bears atau comfort objects. Parents must not reinforce fear. Most children sleep independently after treatment!","nyctophobia,takut gelap,fear of dark,anak takut gelap",9
conditions,"Astraphobia","Takut petir dan guntur dari kecil, traumatis","Astraphobia (fear of thunder/lightning) affecting 2-5% population, more common di tropical regions. SYMPTOMS: Panic during storms, hiding, crying, hypervigilance tentang weather forecast. CAUSES: Traumatic storm experience, parental modeling, natural survival instinct gone excessive. TREATMENT: (1) Education tentang thunder/lightning science untuk reduce unknown, (2) Desensitization: soft thunder sounds → loud → real storm dengan support, (3) Reframing storm as nature's powerful beauty not dangerous, (4) Safe place visualization during storms, (5) Anchoring calm. SUCCESS: 70-80% dapat stay calm during storms dalam 5-8 sesi. PRACTICAL: Storm sounds exposure as homework. Many clients eventually enjoy watching storms dari jendela! Seasonal consideration: tratment before rainy season optimal.","astraphobia,takut petir,thunder phobia,lightning fear",8
conditions,"Thanatophobia","Takut mati berlebihan mengganggu hidup","Thanatophobia (death anxiety) adalah fear of death or dying yang excessive dan persistent. NORMAL VS PATHOLOGICAL: Normal untuk think about death occasionally, pathological ketika daily preoccupation dan avoidance behaviors. SYMPTOMS: Panic attacks ketika think about death, avoidance funeral/hospital, health anxiety, existential dread. CAUSES: Trauma, loss of loved one, midlife crisis, religious doubts. TREATMENT: (1) Existential therapy dalam hypnosis - explore meaning of life, (2) Acceptance of mortality sebagai natural, (3) Living fully di present moment, (4) Spiritual exploration (for Muslims: iman kepada akhirat), (5) Legacy work - what you want to leave behind. SUCCESS: 60-70% significant reduction dalam 10-15 sesi. DEEP WORK: This is existential issue, butuh patience dan philosophical exploration. For Muslims: strengthen iman tentang akhirat very helpful.","thanatophobia,takut mati,death anxiety,fear of death",8
conditions,"Emetophobia Detail","Takut muntah bikin gak bisa makan normal","Emetophobia detail impact: (1) EATING: Restrictive diet, avoid 'risky' foods, eating disorders, malnutrition, (2) SOCIAL: Cannot eat di restaurant, avoid bars/parties, (3) PREGNANCY: Avoid pregnancy karena morning sickness fear, (4) TRAVEL: Cannot travel karena motion sickness fear, (5) MEDICAL: Refuse chemotherapy atau anesthesia. SEVERITY: One of most debilitating phobias with lowest treatment-seeking. TREATMENT STAGES: (1) Stabilize eating patterns, (2) Interoceptive exposure ke nausea sensations, (3) Imaginal exposure ke vomit scenarios, (4) Cognitive reframe, (5) Eventually in vivo exposure. TIMELINE: 15-25 sesi karena very resistant phobia. SUCCESS: 60-70% dapat eat normally dan less avoidance. SUPPORT: Dietitian collaboration untuk nutritional rehabilitation.","emetophobia,takut muntah,eating restriction,food phobia",9
conditions,"Trypophobia","Takut lubang-lubang kecil, geli dan panik","Trypophobia (fear of clustered holes/bumps) adalah relatively newly recognized phobia. TRIGGERS: Lotus seed pod, honeycomb, coral, sponge, soap bubbles, certain skin conditions. SYMPTOMS: Disgust, goosebumps, nausea, panic, skin crawling sensation. THEORY: Evolutionary response untuk avoid diseased skin atau poisonous animals. PREVALENCE: 15-25% population dalam berbagai tingkat. TREATMENT: (1) Gradual exposure ke trypophobic images dengan increasing intensity, (2) Disgust reframing, (3) Relaxation training saat view images, (4) Cognitive restructuring tentang harm assessment. SUCCESS: 70-80% can tolerate images without distress dalam 4-6 sesi. UNIQUE: More disgust than fear response - treatment adjust accordingly. Most clients manage symptoms well dengan minimal sessions. Low impact on daily life usually, tapi bothersome.","trypophobia,takut lubang,holes phobia,clustered holes",7
conditions,"Glossophobia Detail","Presentasi di depan bos besok, bisa urgent session?","Glossophobia urgent treatment: Ya! Kami provide PRE-PRESENTATION INTENSIVE SESSION. PROTOCOL: (1) Emergency booking same-day atau night before, (2) 90-minute intensive session: rapid relaxation → confidence building → hypnotic rehearsal entire presentation → anchoring confident state → post-hypnotic suggestions, (3) Audio recording untuk dengar pagi hari presentasi, (4) WhatsApp support sampai presentasi selesai. SUCCESS: 85-90% report significantly better performance dan reduced anxiety. TECHNIQUE: Imaginal rehearsal proven increase actual performance by 20-30%. COST: Emergency surcharge apply (+50%). TESTIMONIAL: Klien yang 'almost cancel' presentation because of anxiety, successfully present dan dapat promotion! Best results: session 1-2 hari sebelum event, bukan 2 jam sebelum (butuh time untuk consolidate).","glossophobia,urgent,emergency,presentation,public speaking",10
conditions,"Tokophobia","Takut hamil dan melahirkan menunda punya anak","Tokophobia adalah intense fear of pregnancy/childbirth yang affect family planning decisions. TYPES: (1) Primary: nulliparous women, never pregnant, (2) Secondary: after traumatic birth experience. PREVALENCE: 6-10% women of childbearing age. IMPACT: Delay pregnancy, request cesarean, relationship strain. SYMPTOMS: Panic attacks tentang pregnancy, nightmares, avoidance sexual intercourse. TREATMENT: (1) Education tentang modern obstetrics dan pain management, (2) Reprocessing traumatic birth stories heard, (3) Hypnobirthing preparation - visualize positive birth, (4) Pain control techniques, (5) Empowerment suggestions. SUCCESS: 70-75% proceed dengan pregnancy confidently dalam 8-12 sesi. COLLABORATION: Work dengan OB-GYN dan doula. Hypnobirthing component: visualize ideal birth, pain as 'pressure', baby descent visualization. Many have positive birth experiences after treatment!","tokophobia,takut hamil,pregnancy fear,childbirth anxiety",8
conditions,"Nomophobia","Gak bisa lepas dari HP, anxiety parah kalau ketinggalan","Nomophobia (no-mobile-phone phobia) adalah modern phobia - fear of being without smartphone. SYMPTOMS: Anxiety ketika battery low, panic jika lupa HP, check phone 150-300x/day, phantom vibration syndrome. IMPACT: Sleep disruption, relationship issues, attention problems, neck pain. PREVALENCE: 50-65% smartphone users mengalami dalam berbagai tingkat. TREATMENT: (1) Digital detox gradual - mulai 30 min tanpa phone, kemudian 1 jam, dst, (2) Anxiety tolerance building, (3) Reframe phone as tool not lifeline, (4) FOMO (fear of missing out) management, (5) Installing alternative coping mechanisms. SUCCESS: 60-70% reduce phone dependency significantly dalam 8-12 sesi. HOMEWORK: Phone-free activities, airplane mode practice, designated phone-free times. Young adults paling affected. Quality of life dan relationships improve dramatically!","nomophobia,addiction hp,phone addiction,smartphone anxiety",8
conditions,"Ergophobia","Takut kerja setelah burnout, gak bisa masuk kantor","Ergophobia (fear of work) develops setelah severe burnout, workplace trauma, atau prolonged unemployment. SYMPTOMS: Panic attacks sebelum kerja, Sunday night anxiety, avoidance behaviors, psychosomatic illness (headache, nausea). CAUSES: Toxic workplace, harassment, excessive workload, perfectionism, fear of failure. IMPACT: Job loss, financial stress, self-esteem issues, depression. TREATMENT: (1) Identify specific work triggers (boss, deadline, meetings), (2) Desensitization gradual - imaginal work situations, (3) Ego strengthening dan competence building, (4) Work-life balance suggestions, (5) Assertiveness training hypnosis. SUCCESS: 65-75% dapat return to work dalam 10-15 sesi. REALISTIS: Kadang memang need job change jika workplace truly toxic. Career counseling integration helpful. Many clients report finding more fulfilling careers after treatment!","ergophobia,takut kerja,work anxiety,burnout,workplace phobia",8
conditions,"Atychiphobia","Takut gagal bikin gak berani mulai apapun","Atychiphobia (fear of failure) adalah perfectionism extreme yang paralyze action. SYMPTOMS: Procrastination, cannot start projects, self-sabotage, avoidance challenges. ROOTS: Critical parenting, past humiliation, impossibly high standards. IMPACT: Underachievement, missed opportunities, regret, depression. COGNITIVE DISTORTION: 'If I'm not perfect, I'm failure' - black and white thinking. TREATMENT: (1) Reframe failure as learning opportunity, (2) Lower perfectionism standards dengan graduated success experiences, (3) Self-compassion building, (4) Visualization successful attempts with mistakes included, (5) Exposure to 'failing' dalam safe environment. SUCCESS: 70-80% dapat take risks dan start projects dalam 8-12 sesi. BREAKTHROUGH: When clients realize 'B grade is okay' atau 'imperfect action beats perfect inaction'. Life becomes more adventurous dan fulfilling!","atychiphobia,takut gagal,fear of failure,perfectionism",8
conditions,"Philophobia","Takut jatuh cinta karena trauma masa lalu","Philophobia (fear of love/relationships) develops after betrayal, abuse, atau attachment trauma. SYMPTOMS: Sabotage relationships ketika getting close, emotional unavailability, cannot commit, push people away. CAUSES: Infidelity trauma, abusive past relationship, parental divorce, abandonment issues. IMPACT: Loneliness, serial dating tanpa depth, cannot form lasting relationships. PROTECTIVE: Fear is protective mechanism - 'can't hurt me if I don't let you in'. TREATMENT: (1) Reprocess past relationship trauma, (2) Trust rebuilding suggestions, (3) Challenge cognitive distortions tentang love, (4) Gradual vulnerability exercises, (5) Attachment style work. SUCCESS: 60-70% dapat form healthy relationship dalam 15-25 sesi. DEEP WORK: Need explore attachment patterns from childhood. Couples therapy integration jika currently in relationship. Beautiful outcomes: clients finding lasting love after years of avoidance!","philophobia,takut cinta,fear of love,relationship anxiety",8
conditions,"Somniphobia","Takut tidur karena mimpi buruk berulang","Somniphobia (sleep anxiety/fear of sleeping) develops after recurrent nightmares atau sleep paralysis. SYMPTOMS: Resist bedtime, insomnia, exhaustion, fear of losing control during sleep. CAUSES: PTSD nightmares, sleep paralysis episodes, sleepwalking incidents, fear of death during sleep. IMPACT: Chronic sleep deprivation → cognitive impairment, mood issues, health problems. TREATMENT: (1) Nightmare reprocessing - change nightmare endings dalam hypnosis, (2) Sleep as safe space suggestions, (3) Lucid dreaming training untuk control nightmares, (4) Pre-sleep relaxation routine hypnosis, (5) Address underlying trauma causing nightmares. SUCCESS: 75-80% dapat sleep normally dalam 8-12 sesi. TECHNIQUE: Image rehearsal therapy very effective. Most clients report fewer nightmares within 4 sessions. Sleep quality transforms life quality dramatically!","somniphobia,takut tidur,sleep anxiety,nightmare disorder",9
conditions,"Carcinophobia","Obsesi takut kanker mengganggu hidup normal","Carcinophobia (cancer phobia) adalah subset dari health anxiety focused on cancer fear. SYMPTOMS: Frequent cancer worry, excessive body checking, multiple doctor visits, googling symptoms, avoid cancer-related media. TRIGGERS: Family history of cancer, celebrity cancer news, medical checkup approaching. IMPACT: Constant anxiety, excessive medical tests (financial burden), quality of life reduced drastically. TREATMENT: (1) Reality testing - statistical probability actual cancer, (2) Intolerance of uncertainty work, (3) Reduce checking behaviors gradually, (4) Mindfulness untuk present moment vs future worry, (5) Cognitive restructuring tentang bodily sensations. SUCCESS: 65-75% significant reduction dalam obsessive worry dalam 10-15 sesi. CHALLENGE: Health anxiety resistant karena 'better safe than sorry' mindset. Homework: Limit googling symptoms. Collaboration dengan primary care physician helpful untuk appropriate screening schedule.","carcinophobia,takut kanker,cancer phobia,health anxiety",8
conditions,"Coulrophobia","Takut badut parah dari kecil, trauma","Coulrophobia (clown phobia) surprisingly common, affecting 5-10% population. CAUSES: (1) Uncanny valley effect - familiar tapi distorted features, (2) Childhood traumatic clown encounter, (3) Horror movie clowns (IT), (4) Cannot read emotions karena makeup. SYMPTOMS: Panic at parties dengan clowns, avoidance circus, nightmares. IMPACT: Usually low daily impact kecuali kerja dengan children events. TREATMENT: (1) Education - clowns adalah people in costume, (2) Gradual exposure: cartoon clowns → friendly clown images → clown videos → real clown dari jauh → close interaction, (3) Reprocessing traumatic clown memory, (4) Desensitization via humor. SUCCESS: 80-85% tolerate clowns comfortably dalam 4-6 sesi. TIMELINE: Relatively quick resolution karena limited real-world exposure. Many clients eventually find clowns funny after treatment!","coulrophobia,takut badut,clown phobia,badut",7
pricing,"Paket 10 Sesi","Paket hemat untuk terapi jangka panjang ada?","Paket 10 Sesi Albashiro: Rp 6.000.000 (original Rp 7.500.000) - HEMAT 20%! BEST VALUE untuk complex issues. INCLUDES: (1) 10x sesi individual 60-90 menit, (2) Comprehensive psychological assessment, (3) Detailed treatment plan dengan milestones, (4) Multiple audio self-hypnosis recordings customized, (5) Progress evaluation setiap 3 sesi, (6) Priority scheduling, (7) Unlimited WhatsApp support, (8) Resource materials (worksheets, journals, reading), (9) Email check-ins antar sesi. VALIDITY: 6 bulan. COCOK UNTUK: Complex trauma, chronic anxiety, OCD, deep-rooted issues, personality work. PAYMENT: Bisa installment 2-3x tanpa bunga. Average client dengan paket ini achieve 70-80% improvement. Investment terbaik untuk transformasi mendalam!","paket 10,package,diskon,hemat,long-term",10
pricing,"First Session Extended","Berapa biaya konsultasi pertama?","First Session Extended: Rp 900.000 (90-120 menit). INCLUDES: (1) Comprehensive intake interview - 30 menit: history, symptoms, goals, (2) Psychological assessment - 15 menit: severity, suggestibility test, (3) Psychoeducation - 15 menit: explain condition, treatment plan, realistic expectations, (4) Initial hypnotherapy - 30 menit: experience hipnosis pertama kali, (5) Homework assignment - 10 menit: self-hypnosis audio, journaling tasks. PURPOSE: Build rapport, establish diagnosis, experience therapy, assess response. LONGER karena perlu thorough understanding. FOLLOW-UP sessions: Rp 600.000-750.000 (60-90 menit). VALUE: Comprehensive assessment saves time long-term. Most clients feel 30-40% better bahkan after first session! Book via website atau WhatsApp.","first session,consultation,initial,pertama kali,assessment",10
pricing,"Online Session Rate","Berapa tarif sesi online?","Online Session Rate: Rp 400.000-600.000 per sesi (60-90 menit), lebih affordable 30-40% dari in-person! PLATFORM: Zoom, Google Meet, atau WhatsApp Video. SAME QUALITY: Research shows online hypnotherapy 70-85% efficacy, only 5-10% lower dari face-to-face. REQUIREMENTS: (1) Stable internet minimum 5 Mbps, (2) Quiet private room, (3) Headphones/earbuds dengan mic bagus, (4) Laptop/tablet (lebih baik dari phone untuk eye contact), (5) Comfortable seating atau bisa berbaring. PROCESS: Same structure sebagai in-person - consultation, hypnosis, post-talk. BENEFITS: (1) No travel time & cost, (2) Comfort di rumah = easier relaxation, (3) Access best therapists di Indonesia dari mana saja, (4) Flexible scheduling. COCOK: Anxiety, phobias, habits, stress. KURANG COCOK: Severe trauma butuh grounding, atau klien mudah distracted.","online,virtual,zoom,rate,tarif online",10
pricing,"Couple Therapy Rate","Berapa biaya terapi untuk pasangan?","Couple Hypnotherapy Session: Rp 1.200.000 per sesi (90-120 menit untuk 2 orang). ISSUES TREATED: (1) Communication problems, (2) Trust issues post-infidelity, (3) Sexual issues (low libido, performance anxiety), (4) Premarital preparation, (5) Conflict resolution, (6) Emotional intimacy, (7) Co-parenting stress. APPROACH: Both partners dalam satu sesi - individual hypnosis untuk each partner untuk unlock subconscious blocks, kemudian joint suggestions untuk relationship harmony. SUCCESS: 70-75% couples report significant improvement dalam 6-10 sesi. REALISTIC: Not miracle cure - both must committed. Homework: Practice communication skills, intimacy exercises. PAKET: 5 couple sessions Rp 5.500.000 (save 8%). TESTIMONIAL: Couples on brink of divorce saved, reignited passion after years of disconnect. Premarital couples build strong foundation. Investment terbaik untuk relationship!","couple,pasangan,couple therapy,relationship,marriage",9
pricing,"Home Visit Pricing","Berapa biaya kalau terapis datang ke rumah?","Home Visit Service Pricing: (1) JAKARTA PUSAT/SELATAN/BARAT: Rp 1.500.000, (2) JAKARTA UTARA/TIMUR: Rp 1.750.000, (3) BOGOR/DEPOK/TANGERANG/BEKASI: Rp 2.000.000, (4) LUAR JABODETABEK: Negotiate (fuel + time). DURATION: Minimum 90 menit, bisa extend to 120 menit +Rp 300.000. INCLUDES: Professional therapy sama kualitas, equipment portable, assessment tools, follow-up materials. REQUIREMENTS: (1) Private quiet room, (2) Comfortable seating/bed, (3) Minimal distractions, (4) Parking/access untuk terapis. PAYMENT: 50% deposit saat booking, 50% setelah sesi. COCOK UNTUK: (1) Mobility limitations (elderly, post-surgery), (2) Agoraphobia (takut keluar rumah), (3) High-profile clients butuh discretion, (4) Busy executives. PAKET 5 HOME VISITS: Rp 7.000.000 (save 15%). Convenience premium tapi worth it untuk comfort maksimal!","home visit,visit rumah,terapis datang,mobile service,harga home visit",9
pricing,"Group Workshop Rate","Berapa biaya workshop group untuk kantor?","Group Workshop Pricing: (1) STRESS MANAGEMENT (20-30 pax, 3 jam): Rp 12.000.000, (2) ANXIETY & RELAXATION (20-30 pax, 2 jam): Rp 8.000.000, (3) SMOKING CESSATION GROUP (10-15 pax, 4 jam): Rp 10.000.000, (4) PRODUCTIVITY & FOCUS (20-30 pax, 3 jam): Rp 12.000.000, (5) LEADERSHIP CONFIDENCE (15-20 leaders, 4 jam): Rp 15.000.000. STRUCTURE: Psychoeducation 30% + Group hypnosis 50% + Q&A 20%. INCLUDES: Materials handouts, audio recordings untuk participants, follow-up resources. LOCATION: Client's office atau kami provide space (+Rp 2 juta). CUSTOMIZABLE: Content adjust sesuai company needs dan industry. ROI: Studies show setiap Rp 1 invested dalam mental health return Rp 3-4 dalam productivity. BOOKING: Minimum 2 minggu notice. Popular untuk corporate wellness programs!","group,workshop,corporate,kantor,seminar",8
pricing,"Emergency Surcharge","Kalau urgent butuh besok bisa? Berapa biayanya?","Emergency/Urgent Session: Available dengan surcharge +50% dari regular rate. REGULAR Rp 750.000 → EMERGENCY Rp 1.125.000. CRITERIA EMERGENCY: (1) Severe panic attack, (2) Acute trauma response (accident, assault baru terjadi), (3) Pre-important event (presentation besok, exam lusa), (4) Crisis intervention (suicidal ideation as adjunct ke psychiatric care), (5) Relapse prevention urgent. AVAILABILITY: Same-day atau next-day IF ada slot. NOT GUARANTEED - tergantung therapist schedule. BOOKING: WhatsApp admin dengan explain urgency. ALTERNATIVE: Jika tidak ada slot, kami provide crisis support via phone consultation 15-20 menit gratis untuk stabilize, kemudian schedule ASAP. NOTE: Emergency session bukan replacement untuk psychiatric emergency - jika actively suicidal atau psychotic, segera ke UGD atau call 119!","emergency,urgent,darurat,crisis,surcharge",9
